"model_name","AUC","TSS","Kappa","Sens","Spec","PCC","D2","thresh","opt_bio10","opt_bio14","opt_occ_prob","bio10_in_range","bio14_in_range"
"gam_500x3",0.994592056576832,0.938351506854695,0.782334511023243,0.976683937823834,0.961667569030861,0.962826021784751,0.711493144581924,0.12,18.1413794221549,73.2790697674419,0.775962872659046,TRUE,TRUE
"glm_500x1",0.995079613769423,0.938042926353055,0.801511722301685,0.971502590673575,0.96654033567948,0.966923153792345,0.768855948160211,0.33,18.1413794221549,75.8604651162791,0.961986919299205,TRUE,TRUE
"gam_500x1",0.995113697888468,0.942129233514087,0.783932433331427,0.980569948186529,0.961559285327558,0.963025881882682,0.768912075843485,0.23,18.1413794221549,89.6279069767442,0.960768616440189,TRUE,TRUE
"glm_1000x10",0.993460191094557,0.924295862734757,0.731503148357694,0.976070528967254,0.948225333767502,0.950434695713001,0.713525645015898,0.33,18.2137925378208,85.2248062015504,0.94919191728685,TRUE,TRUE
"gam_1000x10",0.99250887408303,0.919452744602209,0.738090651290411,0.968513853904282,0.950938890697927,0.95233336664335,0.499917101689669,0.05,18.2137925378208,124,0.442802748207016,TRUE,FALSE
"glm_1000x5",0.993371197363489,0.923751374208113,0.750907053089248,0.969773299748111,0.953978074460002,0.955231338063356,0.753518014651762,0.29,18.2137925378208,92.7906976744186,0.979900876781523,TRUE,TRUE
"gam_1000x5",0.992558360612441,0.921711490252657,0.734138634646249,0.972292191435768,0.949419298816889,0.951234136104727,0.638723788305369,0.07,18.9408040211119,124,0.775861919841326,TRUE,FALSE
"glm_1000x3",0.993171337402165,0.924406182152533,0.711500408983022,0.982367758186398,0.942038423966135,0.945238333166783,0.727611209852463,0.28,17.4867810545297,62.5271317829457,0.945426308021644,TRUE,TRUE
"gam_1000x3",0.99178516776617,0.922707235778159,0.773952812118203,0.962216624685139,0.960490611093021,0.960627560707505,0.691476083637085,0.16,18.9408040211119,41.7209302325581,0.679857904249625,TRUE,TRUE
"glm_1000x1",0.99371445889761,0.931740441239394,0.779648124015366,0.97103274559194,0.960707695647455,0.961526931148196,0.720257940574796,0.4,17.4867810545297,67.2558139534884,0.964908703734497,TRUE,TRUE
"gam_1000x1",0.993699284851298,0.92994006115004,0.753822037439639,0.976070528967254,0.953869532182785,0.955631058259219,0.743876364902854,0.28,18.2137925378208,67.2558139534884,0.932030984708873,TRUE,TRUE
"glm_20x10_chb",0.986057552846372,0.888534938617571,0.66245828323353,0.950617283950617,0.937917654666954,0.938842810032977,0.62710040086721,0.02,18.6045978809225,54,0.86605572270439,TRUE,TRUE
"gam_20x10_chb",0.988781521016278,0.902595517043874,0.707266082253288,0.953360768175583,0.949234748868291,0.94953532527231,0.313531584481973,0.01,18.6045978809225,56,0.349606747882265,TRUE,TRUE
"glm_20x5_chb",0.967533711767383,0.845716713815682,0.599733114904492,0.921810699588477,0.923906014227204,0.923753372639153,0.579971395538209,0.12,10.4666662216187,27.3333333333333,0.983953448319268,FALSE,FALSE
"gam_20x5_chb",0.967332932958507,0.825159506787891,0.510162457917036,0.935528120713306,0.889631386074585,0.89297491755771,0.390797959844804,0.03,10.4666662216187,10,0.976788161858356,FALSE,FALSE
"glm_20x3_chb",0.960282905916943,0.823699498880932,0.501230173035734,0.938271604938272,0.88542789394266,0.889277505745978,0.536045442665704,0.07,15.349425217201,22.6666666666667,0.841508564964801,TRUE,FALSE
"gam_20x3_chb",0.90516646160024,-0.63036798704607,-0.138875449164913,0.0480109739368999,0.32162103901703,0.301688817827521,-6.40769614208853,0.663333333333333,15.8919539944879,10,0.954173388833099,TRUE,FALSE
"glm_20x1_chb",0.988018472833208,0.879931906709708,0.620658660950319,0.954732510288066,0.925199396421643,0.927350854401919,0.706151448087467,0.05,18.6045978809225,53.3333333333333,0.860759651052758,TRUE,TRUE
"gam_20x1_chb",0.988658362880936,0.907572998177614,0.712931663044238,0.957475994513032,0.950097003664583,0.950634555810932,0.571876304855262,0.2,10.4666662216187,96,0.981480623310674,FALSE,TRUE
"glm_50x10_chb",0.986283908103171,0.892959233922373,0.693359583820312,0.948412698412698,0.944546535509675,0.94483861297092,0.658547289402271,0.04,19.0436777575263,53.2790697674419,0.854899603178737,TRUE,TRUE
"gam_50x10_chb",0.986271468435559,0.870503775081659,0.694593993460441,0.921957671957672,0.948546103123987,0.946537423803338,0.262307916632174,0.01,18.4505743158275,50.8372093023256,0.254562495814571,TRUE,TRUE
"glm_50x5_chb",0.982621641361237,0.885017006598457,0.672291988114964,0.945767195767196,0.939249810831261,0.939742180473668,0.649869456009295,0.04,17.8574708741287,46.7674418604651,0.819719403132873,TRUE,TRUE
"gam_50x5_chb",0.987629679960239,0.894466864443083,0.681987525297149,0.953703703703704,0.94076316073938,0.941740781452983,0.444181140922642,0.02,17.8574708741287,46.7674418604651,0.383632121514997,TRUE,TRUE
"glm_50x3_chb",0.991215306910907,0.917886754985447,0.742476419967607,0.962962962962963,0.954923792022484,0.955531128210253,0.708517711598637,0.08,19.6367811992251,78.5116279069767,0.946059911449203,TRUE,TRUE
"gam_50x3_chb",0.992202902131558,0.929390444848233,0.761887536921174,0.970899470899471,0.958490973948762,0.959428400119916,0.579840059570178,0.06,19.6367811992251,107,0.990319243513907,TRUE,TRUE
"glm_50x1_chb",0.990992250802001,0.921194991646835,0.705305799028211,0.977513227513228,0.943681764133607,0.94623763365644,0.738121067060691,0.05,19.0436777575263,76.8837209302326,0.983812997768973,TRUE,TRUE
"gam_50x1_chb",0.990977952333482,0.928647925378009,0.716341610511446,0.982804232804233,0.945843692573776,0.948635954831618,0.70123676586013,0.08,19.0436777575263,65.4883720930233,0.936973066562395,TRUE,TRUE
"glm_100x10_chb",0.990744083681595,0.901661180310795,0.681867003424413,0.960916442048518,0.940744738262277,0.942240431697812,0.706962834338778,0.21,17.0954021585399,94.3255813953488,0.860185760368103,TRUE,TRUE
"gam_100x10_chb",0.988255367925256,0.888009100126116,0.637759326931399,0.959568733153639,0.928440366972477,0.930748476066753,0.455317931663117,0.03,17.0954021585399,124,0.399844354888391,TRUE,FALSE
"glm_100x5_chb",0.990865544763864,0.903758602281141,0.668412879732489,0.967654986522911,0.93610361575823,0.938443089837114,0.703848974262305,0.2,17.658620571268,72.7441860465116,0.827712039819151,TRUE,TRUE
"gam_100x5_chb",0.988780196170558,0.891244183323321,0.640938764302059,0.962264150943396,0.928980032379924,0.931447986409513,0.572117204068986,0.06,17.658620571268,124,0.578788029812647,TRUE,FALSE
"glm_100x3_chb",0.991097557250354,0.906614465069393,0.666248736079774,0.971698113207547,0.934916351861846,0.937643649445388,0.663424487816348,0.29,17.0954021585399,96.1240310077519,0.880147964403986,TRUE,TRUE
"gam_100x3_chb",0.988048665891837,0.894097136864093,0.631449154012394,0.96900269541779,0.925094441446303,0.928350154891576,0.624225954106025,0.1,17.0954021585399,124,0.695347862921989,TRUE,FALSE
"glm_100x1_chb",0.987569803756711,0.888965951622124,0.604535207036308,0.973045822102426,0.915920129519698,0.920155890876386,0.667427503730183,0.17,17.0954021585399,124,0.934480899688938,TRUE,FALSE
"gam_100x1_chb",0.987649953524771,0.891611766742356,0.616205420807312,0.971698113207547,0.919913653534808,0.923753372639153,0.639079246855456,0.22,16.5321837458117,124,0.836213624482644,TRUE,FALSE
"glm_500x10_chb",0.994980432716498,0.937444932073573,0.773738398217106,0.978064516129032,0.959380415944541,0.960827420805436,0.733430256012369,0.3,18.1626434326172,92.9767441860465,0.931992656612403,TRUE,TRUE
